County,Cost,State
Apache,853,Arizona
Cochise,"1,689",Arizona
Coconino,899,Arizona
Gila,853,Arizona
Graham,853,Arizona
Greenlee,853,Arizona
LaPaz,"1,505",Arizona
Maricopa,"1,669",Arizona
Mohave,"1,559",Arizona
Navajo,869,Arizona
Pima,"1,191",Arizona
Pinal,853,Arizona
SantaCruz,"1,299",Arizona
Yavapai,"1,177",Arizona
Yuma,"1,669",Arizona
Adams,"3,113",Colorado
Alamosa,"2,699",Colorado
Arapahoe,"2,319",Colorado
Archuleta,"2,699",Colorado
Baca,"2,699",Colorado
Bent,"1,588",Colorado
Boulder,"3,417",Colorado
Broomfield,"2,918",Colorado
Chaffee,"2,901",Colorado
Cheyenne,"1,567",Colorado
ClearCreek,"3,390",Colorado
Conejos,"2,699",Colorado
Costilla,"2,699",Colorado
Crowley,"1,709",Colorado
Custer,"2,768",Colorado
Delta,"2,948",Colorado
Denver,"3,458",Colorado
Dolores,"2,948",Colorado
Douglas,"3,496",Colorado
Eagle,"3,359",Colorado
Elbert,"2,630",Colorado
ElPaso,"2,699",Colorado
Fremont,"2,798",Colorado
Garfield,"3,359",Colorado
Gilpin,"3,353",Colorado
Grand,"3,383",Colorado
Gunnison,"2,948",Colorado
Hinsdale,"2,865",Colorado
Huerfano,"2,699",Colorado
Jackson,"3,366",Colorado
Jefferson,"3,390",Colorado
Kiowa,"1,567",Colorado
KitCarson,"1,567",Colorado
Lake,"3,336",Colorado
LaPlata,"2,699",Colorado
Larimer,"3,340",Colorado
LasAnimas,"2,699",Colorado
Lincoln,"1,567",Colorado
Logan,"1,567",Colorado
Mesa,"2,948",Colorado
Mineral,"2,699",Colorado
Moffat,"3,154",Colorado
Montezuma,"2,948",Colorado
Montrose,"2,948",Colorado
Morgan,"1,567",Colorado
Otero,"1,567",Colorado
Ouray,"2,938",Colorado
Park,"3,303",Colorado
Phillips,"1,567",Colorado
Pitkin,"3,172",Colorado
Prowers,"2,144",Colorado
Pueblo,"2,699",Colorado
RioBlanco,"3,257",Colorado
RioGrande,"2,699",Colorado
Routt,"3,366",Colorado
Saguache,"2,699",Colorado
SanJuan,"2,904",Colorado
SanMiguel,"2,948",Colorado
Sedgwick,"1,567",Colorado
Summit,"3,327",Colorado
Teller,"2,720",Colorado
Washington,"1,567",Colorado
Weld,"1,567",Colorado
Yuma,"1,567",Colorado
Ada,"1,363",Idaho
Adams,"1,363",Idaho
Bannock,"1,363",Idaho
BearLake,"1,363",Idaho
Benewah,"1,363",Idaho
Bingham,"1,363",Idaho
Blaine,"1,363",Idaho
Boise,"1,363",Idaho
Bonner,"1,363",Idaho
Bonneville,"1,363",Idaho
Boundary,"1,363",Idaho
Butte,"1,363",Idaho
Camas,"1,363",Idaho
Canyon,"1,363",Idaho
Caribou,"1,363",Idaho
Cassia,"1,363",Idaho
Clark,"1,363",Idaho
Clearwater,"1,363",Idaho
Custer,"1,363",Idaho
Elmore,"1,363",Idaho
Franklin,"1,363",Idaho
Fremont,"1,363",Idaho
Gem,"1,363",Idaho
Gooding,"1,363",Idaho
Idaho,"1,363",Idaho
Jefferson,"1,363",Idaho
Jerome,"1,363",Idaho
